,freq,lbd,S,aux,idl
402,177169654790603.62,1.6921208e-06,-56.6020952,,
403,177171706987738.1,1.6921012e-06,-55.9499102,,
404,177173759232415.28,1.6920816e-06,-54.4617732,,
405,177175811524636.78,1.692062e-06,-55.6696737,,
406,177177863864404.34,1.6920424e-06,-55.8605978,,
407,177179916251719.53,1.6920228e-06,-55.3135119,,
408,177181968686584.03,1.6920032e-06,-55.2986519,,
409,177184021168999.5,1.6919836e-06,-55.2467327,,
410,177186073698967.6,1.691964e-06,-54.7197866,,
411,177188126276489.94,1.6919444e-06,-55.1786961,,
412,177190178901568.2,1.6919248e-06,-56.1795967,,
413,177192231574204.03,1.6919052e-06,-58.3716262,,
414,177194284294399.12,1.6918856e-06,-56.0878531,,
415,177196337062155.03,1.691866e-06,-56.2841974,,
416,177198389877473.5,1.6918464e-06,-55.835325,,
417,177200442740356.16,1.6918268e-06,-55.0340455,,
418,177202495650804.66,1.6918072e-06,-55.5268492,,
419,177204548608820.62,1.6917876e-06,-57.3997331,,
420,177206601614405.75,1.691768e-06,-56.2456021,,
421,177208654667561.66,1.6917484e-06,-56.5073319,,
422,177210707768290.06,1.6917288e-06,-54.5413723,,
423,177212760916592.53,1.6917092e-06,-57.6049072,,
424,177214814112470.75,1.6916896e-06,-55.6845588,,
425,177216867355926.38,1.69167e-06,-55.6903522,,
426,177218920646961.1,1.6916504e-06,-56.6484733,,
427,177220973985576.53,1.6916308e-06,-57.4674727,,
428,177223027371774.3,1.6916112e-06,-57.3180998,,
429,177225080805556.12,1.6915916e-06,-55.7292083,,
430,177227134286923.66,1.691572e-06,-55.3369865,,
431,177229187815878.5,1.6915524e-06,-56.6299005,,
432,177231241392422.3,1.6915328e-06,-56.5932577,,
433,177233295016556.78,1.6915132e-06,-55.1656603,,
434,177235348688283.53,1.6914936e-06,-55.456844,,
435,177237402407604.25,1.691474e-06,-56.1113587,,
436,177239456174520.6,1.6914544e-06,-55.9830654,,
437,177241509989034.16,1.6914348e-06,-57.6230525,,
